app,arm,mutator,file,line,column,variant,stage2,stmt_differs,effective,stage3,test1_demo,test2_golden,test2_written,test3_perf,killed_by,killed,exit_code,wall_seconds,note
max_filter,boundary_conditions,Halide_repeat_edge_to_mirror_image,max_filter_generator.cpp,17,22,before,OK,1,1,OK,SURVIVED,SURVIVED,NOT_RUN,NOT_RUN,,0,0,3.34,
max_filter,boundary_conditions,Halide_repeat_edge_to_mirror_interior,max_filter_generator.cpp,17,22,before,OK,1,1,OK,SURVIVED,SURVIVED,NOT_RUN,NOT_RUN,,0,0,2.51,
max_filter,boundary_conditions,Halide_repeat_edge_to_repeat_image,max_filter_generator.cpp,17,22,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,2.91,
max_filter,boundary_conditions,Halide_repeat_edge_to_mirror_image,max_filter_generator.cpp,17,22,after,OK,1,1,OK,NOT_RUN,NOT_RUN,SURVIVED,NOT_RUN,,0,0,0.47,
max_filter,boundary_conditions,Halide_repeat_edge_to_mirror_interior,max_filter_generator.cpp,17,22,after,OK,1,1,OK,NOT_RUN,NOT_RUN,SURVIVED,NOT_RUN,,0,0,0.49,
max_filter,boundary_conditions,Halide_repeat_edge_to_repeat_image,max_filter_generator.cpp,17,22,after,OK,1,1,OK,NOT_RUN,NOT_RUN,KILLED,NOT_RUN,test2_written,1,1,0.76,
max_filter,if_then_else,Halide_select_to_if_then_else,max_filter_generator.cpp,50,32,before,OK,1,1,OK,SURVIVED,SURVIVED,NOT_RUN,NOT_RUN,,0,0,2.11,
max_filter,if_then_else,Halide_select_to_if_then_else,max_filter_generator.cpp,50,32,after,OK,1,1,OK,NOT_RUN,NOT_RUN,SURVIVED,NOT_RUN,,0,0,1.14,
