app,arm,mutator,file,line,column,variant,stage2,stmt_differs,effective,stage3,o1,o2,killed,exit_code,wall_seconds,note
depthwise_separable_conv,if_then_else,Halide_select_to_if_then_else,depthwise_separable_conv_generator.cpp,41,13,before,OK,1,1,OK,SURVIVED,SURVIVED,0,0,0.62,
depthwise_separable_conv,if_then_else,Halide_select_to_if_then_else,depthwise_separable_conv_generator.cpp,41,13,after,OK,1,1,OK,SURVIVED,SURVIVED,0,0,0.00,
depthwise_separable_conv,select_clamp,Halide_clamp_swap_bounds,depthwise_separable_conv_generator.cpp,38,26,before,OK,1,1,OK,SURVIVED,SURVIVED,0,0,0.60,
depthwise_separable_conv,select_clamp,Halide_clamp_swap_bounds,depthwise_separable_conv_generator.cpp,39,26,before,OK,1,1,OK,SURVIVED,SURVIVED,0,0,0.64,
depthwise_separable_conv,select_clamp,Halide_select_swap_branches,depthwise_separable_conv_generator.cpp,41,13,before,OK,1,1,OK,SURVIVED,SURVIVED,0,0,0.55,
depthwise_separable_conv,select_clamp,Halide_clamp_swap_bounds,depthwise_separable_conv_generator.cpp,38,26,after,OK,1,1,OK,KILLED,KILLED,1,1,0.00,
depthwise_separable_conv,select_clamp,Halide_clamp_swap_bounds,depthwise_separable_conv_generator.cpp,39,26,after,OK,1,1,OK,KILLED,KILLED,1,1,0.00,
depthwise_separable_conv,select_clamp,Halide_select_swap_branches,depthwise_separable_conv_generator.cpp,41,13,after,OK,1,1,OK,KILLED,KILLED,1,1,0.00,
depthwise_separable_conv,generated,Halide_add_assign_to_sub_assign,depthwise_separable_conv_generator.cpp,57,41,before,OK,1,1,OK,SURVIVED,SURVIVED,0,0,0.98,
depthwise_separable_conv,generated,Halide_add_assign_to_sub_assign,depthwise_separable_conv_generator.cpp,70,41,before,OK,1,1,OK,SURVIVED,SURVIVED,0,0,0.87,
depthwise_separable_conv,generated,Halide_eq_to_ne,depthwise_separable_conv_generator.cpp,287,50,before,OK,1,1,OK,KILLED,KILLED,1,-6,1.59,
depthwise_separable_conv,generated,Halide_eq_to_ne,depthwise_separable_conv_generator.cpp,288,53,before,OK,1,1,OK,KILLED,KILLED,1,-6,1.12,
depthwise_separable_conv,generated,Halide_eq_to_ne,depthwise_separable_conv_generator.cpp,289,64,before,OK,1,1,OK,KILLED,KILLED,1,-6,1.12,
depthwise_separable_conv,generated,Halide_eq_to_ne,depthwise_separable_conv_generator.cpp,290,64,before,OK,1,1,OK,KILLED,KILLED,1,-6,1.13,
depthwise_separable_conv,generated,Halide_logical_and_to_or,depthwise_separable_conv_generator.cpp,36,34,before,OK,1,1,OK,SURVIVED,SURVIVED,0,0,0.94,
depthwise_separable_conv,generated,Halide_logical_and_to_or,depthwise_separable_conv_generator.cpp,36,63,before,OK,1,1,OK,SURVIVED,SURVIVED,0,0,0.98,
depthwise_separable_conv,generated,Halide_logical_and_to_or,depthwise_separable_conv_generator.cpp,37,34,before,OK,1,1,OK,SURVIVED,SURVIVED,0,0,0.76,
depthwise_separable_conv,generated,Halide_logical_and_to_or,depthwise_separable_conv_generator.cpp,287,55,before,OK,1,1,OK,KILLED,KILLED,1,-6,1.12,
