app,arm,mull_commit,slice_index,slice_count,mutator,file,line,column,region,exit_code,test1_demo,test2_golden,test2_written,test3_perf,killed_by,timed_out,wall_seconds,mutant_key
bgu,cxx_default_on_emitted_cpp,5eb72c8d,3,9,cxx_replace_scalar_call,bgu.halide_generated.cpp,14324,16,generator_specific,-6,1,1,,,test1_demo;test2_golden,0,0.263,cxx_replace_scalar_call:/mnt/scratch1/ardi/dsl_mut/HM-armc-fix/mutation/lowered-cpp/bgu/bgu.halide_generated.cpp:14324:16
bgu,cxx_default_on_emitted_cpp,5eb72c8d,3,9,cxx_ne_to_eq,bgu.halide_generated.cpp,15195,28,generator_specific,-6,1,1,,,test1_demo;test2_golden,0,0.284,cxx_ne_to_eq:/mnt/scratch1/ardi/dsl_mut/HM-armc-fix/mutation/lowered-cpp/bgu/bgu.halide_generated.cpp:15195:28
bgu,cxx_default_on_emitted_cpp,5eb72c8d,3,9,cxx_add_to_sub,bgu.halide_generated.cpp,6430,29,generator_specific,-11,1,1,,,test1_demo;test2_golden,0,0.458,cxx_add_to_sub:/mnt/scratch1/ardi/dsl_mut/HM-armc-fix/mutation/lowered-cpp/bgu/bgu.halide_generated.cpp:6430:29
bgu,cxx_default_on_emitted_cpp,5eb72c8d,3,9,cxx_sub_to_add,bgu.halide_generated.cpp,4943,28,generator_specific,-11,1,1,,,test1_demo;test2_golden,0,0.275,cxx_sub_to_add:/mnt/scratch1/ardi/dsl_mut/HM-armc-fix/mutation/lowered-cpp/bgu/bgu.halide_generated.cpp:4943:28
bgu,cxx_default_on_emitted_cpp,5eb72c8d,3,9,cxx_add_to_sub,bgu.halide_generated.cpp,10835,29,generator_specific,-11,1,1,,,test1_demo;test2_golden,0,0.688,cxx_add_to_sub:/mnt/scratch1/ardi/dsl_mut/HM-armc-fix/mutation/lowered-cpp/bgu/bgu.halide_generated.cpp:10835:29
bgu,cxx_default_on_emitted_cpp,5eb72c8d,3,9,cxx_add_to_sub,bgu.halide_generated.cpp,12523,28,generator_specific,-11,1,1,,,test1_demo;test2_golden,0,0.733,cxx_add_to_sub:/mnt/scratch1/ardi/dsl_mut/HM-armc-fix/mutation/lowered-cpp/bgu/bgu.halide_generated.cpp:12523:28
bgu,cxx_default_on_emitted_cpp,5eb72c8d,3,9,cxx_add_to_sub,bgu.halide_generated.cpp,12507,26,generator_specific,-11,1,1,,,test1_demo;test2_golden,0,0.738,cxx_add_to_sub:/mnt/scratch1/ardi/dsl_mut/HM-armc-fix/mutation/lowered-cpp/bgu/bgu.halide_generated.cpp:12507:26
bgu,cxx_default_on_emitted_cpp,5eb72c8d,3,9,cxx_mul_to_div,bgu.halide_generated.cpp,12727,25,generator_specific,-11,1,1,,,test1_demo;test2_golden,0,0.995,cxx_mul_to_div:/mnt/scratch1/ardi/dsl_mut/HM-armc-fix/mutation/lowered-cpp/bgu/bgu.halide_generated.cpp:12727:25
