app,route,mutant_uid,op_id,file,line,column,target,ordinal_this_run,stage_compile,tce,stage_link,test1_demo,test2_golden,test2_written,test3_perf,killed_by,killed,resolved,resolution,exit_code,wall_seconds,perf_median,artifact_digest,note
fft,ast_emitted,a3cd5bb8d8138851,cxx_rel_swap,fft_forward_r2c.halide_generated.cpp,231,16,operator>= -> operator<,m020_cxx_rel_swap_operator_lt,OK,3b75095243598f60,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
fft,ast_emitted,13a36103b25e221d,cxx_arith_swap,fft_forward_r2c.halide_generated.cpp,230,25,operator* -> operator-,m018_cxx_arith_swap_operator_sub,OK,3b75095243598f60,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
fft,ast_emitted,3e63dd979148b8e1,cxx_rel_swap,fft_forward_r2c.halide_generated.cpp,231,16,operator>= -> operator<=,m021_cxx_rel_swap_operator_lt_eq,OK,3b75095243598f60,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
fft,ast_emitted,a84e28b082f71bb3,cxx_arith_swap,fft_forward_r2c.halide_generated.cpp,230,25,operator* -> operator+,m017_cxx_arith_swap_operator_add,OK,3b75095243598f60,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
fft,ast_emitted,c5174d3bf39c2b00,cxx_rel_swap,fft_forward_r2c.halide_generated.cpp,231,46,operator== -> operator<=,m026_cxx_rel_swap_operator_lt_eq,OK,3b75095243598f60,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
fft,ast_emitted,96693921dbd2b838,cxx_rel_swap,fft_forward_r2c.halide_generated.cpp,231,16,operator>= -> operator>,m022_cxx_rel_swap_operator_gt,OK,3b75095243598f60,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
fft,ast_emitted,48a6d7f79872803a,cxx_rel_swap,fft_forward_r2c.halide_generated.cpp,231,16,operator>= -> operator==,m023_cxx_rel_swap_operator_eq_eq,OK,3b75095243598f60,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
fft,ast_emitted,5752dc2f68d23334,cxx_rel_swap,fft_forward_r2c.halide_generated.cpp,231,16,operator>= -> operator!=,m024_cxx_rel_swap_operator_not_eq,OK,3b75095243598f60,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
fft,ast_emitted,3b690d37a3090010,cxx_rel_swap,fft_forward_r2c.halide_generated.cpp,231,46,operator== -> operator>,m027_cxx_rel_swap_operator_gt,OK,3b75095243598f60,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
fft,ast_emitted,16b7fe03e088d511,cxx_rel_swap,fft_forward_r2c.halide_generated.cpp,231,46,operator== -> operator<,m025_cxx_rel_swap_operator_lt,OK,3b75095243598f60,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
fft,ast_emitted,5d95e722251f817d,cxx_rel_swap,fft_forward_r2c.halide_generated.cpp,231,46,operator== -> operator>=,m028_cxx_rel_swap_operator_gt_eq,OK,3b75095243598f60,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
fft,ast_emitted,8d41c3956eb5d58b,cxx_rel_swap,fft_forward_r2c.halide_generated.cpp,243,16,operator< -> operator<=,m033_cxx_rel_swap_operator_lt_eq,OK,3b75095243598f60,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
fft,ast_emitted,6f5731feaec3dd24,cxx_rel_swap,fft_forward_r2c.halide_generated.cpp,231,46,operator== -> operator!=,m029_cxx_rel_swap_operator_not_eq,OK,3b75095243598f60,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
fft,ast_emitted,7282572cfbc18898,cxx_arith_swap,fft_forward_r2c.halide_generated.cpp,241,36,operator* -> operator+,m030_cxx_arith_swap_operator_add,OK,3b75095243598f60,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
fft,ast_emitted,87318675d774d642,cxx_arith_swap,fft_forward_r2c.halide_generated.cpp,241,36,operator* -> operator/,m032_cxx_arith_swap_operator_div,OK,3b75095243598f60,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
fft,ast_emitted,f267b9891e7d63e5,cxx_rel_swap,fft_forward_r2c.halide_generated.cpp,243,16,operator< -> operator>,m034_cxx_rel_swap_operator_gt,OK,3b75095243598f60,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
fft,ast_emitted,97d84c7a6bad7178,cxx_arith_swap,fft_forward_r2c.halide_generated.cpp,241,36,operator* -> operator-,m031_cxx_arith_swap_operator_sub,OK,3b75095243598f60,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
