app,route,mutant_uid,op_id,file,line,column,target,ordinal_this_run,stage_compile,tce,stage_link,test1_demo,test2_golden,test2_written,test3_perf,killed_by,killed,resolved,resolution,exit_code,wall_seconds,perf_median,artifact_digest,note
wavelet,ast_emitted,c3b201f8e57554a8,cxx_rel_swap,haar_x.halide_generated.cpp,231,16,operator>= -> operator>,m022_cxx_rel_swap_operator_gt,OK,b7ba2cf0fe3e4fcb,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
wavelet,ast_emitted,3ad32bf35d9729e6,cxx_arith_swap,haar_x.halide_generated.cpp,230,25,operator* -> operator+,m017_cxx_arith_swap_operator_add,OK,b7ba2cf0fe3e4fcb,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
wavelet,ast_emitted,c087422b030c2f77,cxx_arith_swap,haar_x.halide_generated.cpp,230,25,operator* -> operator-,m018_cxx_arith_swap_operator_sub,OK,b7ba2cf0fe3e4fcb,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
wavelet,ast_emitted,ecd2616ddfe77483,cxx_rel_swap,haar_x.halide_generated.cpp,231,16,operator>= -> operator!=,m024_cxx_rel_swap_operator_not_eq,OK,b7ba2cf0fe3e4fcb,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
wavelet,ast_emitted,570c02044cf2df13,cxx_rel_swap,haar_x.halide_generated.cpp,231,16,operator>= -> operator==,m023_cxx_rel_swap_operator_eq_eq,OK,b7ba2cf0fe3e4fcb,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
wavelet,ast_emitted,daea56c3cec829f0,cxx_rel_swap,haar_x.halide_generated.cpp,231,16,operator>= -> operator<=,m021_cxx_rel_swap_operator_lt_eq,OK,b7ba2cf0fe3e4fcb,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
wavelet,ast_emitted,5d009196d073c9eb,cxx_rel_swap,haar_x.halide_generated.cpp,231,16,operator>= -> operator<,m020_cxx_rel_swap_operator_lt,OK,b7ba2cf0fe3e4fcb,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
wavelet,ast_emitted,ed5970c54c0c95df,cxx_rel_swap,haar_x.halide_generated.cpp,231,46,operator== -> operator>,m027_cxx_rel_swap_operator_gt,OK,b7ba2cf0fe3e4fcb,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
wavelet,ast_emitted,cb3c2864fc1f27c0,cxx_rel_swap,haar_x.halide_generated.cpp,231,46,operator== -> operator>=,m028_cxx_rel_swap_operator_gt_eq,OK,b7ba2cf0fe3e4fcb,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
wavelet,ast_emitted,578c48082434ec02,cxx_rel_swap,haar_x.halide_generated.cpp,231,46,operator== -> operator<,m025_cxx_rel_swap_operator_lt,OK,b7ba2cf0fe3e4fcb,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
wavelet,ast_emitted,34319930543e63ea,cxx_rel_swap,haar_x.halide_generated.cpp,231,46,operator== -> operator<=,m026_cxx_rel_swap_operator_lt_eq,OK,b7ba2cf0fe3e4fcb,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
wavelet,ast_emitted,edce53eb4ed2a772,cxx_arith_swap,haar_x.halide_generated.cpp,241,36,operator* -> operator-,m031_cxx_arith_swap_operator_sub,OK,b7ba2cf0fe3e4fcb,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
wavelet,ast_emitted,b45f64091554832b,cxx_arith_swap,haar_x.halide_generated.cpp,241,36,operator* -> operator/,m032_cxx_arith_swap_operator_div,OK,b7ba2cf0fe3e4fcb,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
wavelet,ast_emitted,c3d0bd6461ebbdea,cxx_rel_swap,haar_x.halide_generated.cpp,231,46,operator== -> operator!=,m029_cxx_rel_swap_operator_not_eq,OK,b7ba2cf0fe3e4fcb,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
wavelet,ast_emitted,fe718ef8dd9e4f96,cxx_arith_swap,haar_x.halide_generated.cpp,241,36,operator* -> operator+,m030_cxx_arith_swap_operator_add,OK,b7ba2cf0fe3e4fcb,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
wavelet,ast_emitted,81f858fc8f0c2a99,cxx_rel_swap,haar_x.halide_generated.cpp,243,16,operator< -> operator<=,m033_cxx_rel_swap_operator_lt_eq,OK,b7ba2cf0fe3e4fcb,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
wavelet,ast_emitted,02c903cee10d4198,cxx_rel_swap,haar_x.halide_generated.cpp,243,16,operator< -> operator>,m034_cxx_rel_swap_operator_gt,OK,b7ba2cf0fe3e4fcb,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
wavelet,ast_emitted,a766f134ffffacbf,cxx_rel_swap,haar_x.halide_generated.cpp,243,48,operator== -> operator<=,m039_cxx_rel_swap_operator_lt_eq,OK,b7ba2cf0fe3e4fcb,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
wavelet,ast_emitted,10313152be5d0217,cxx_rel_swap,haar_x.halide_generated.cpp,243,16,operator< -> operator>=,m035_cxx_rel_swap_operator_gt_eq,OK,b7ba2cf0fe3e4fcb,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
wavelet,ast_emitted,e07be5c41b8907ae,cxx_rel_swap,haar_x.halide_generated.cpp,243,16,operator< -> operator!=,m037_cxx_rel_swap_operator_not_eq,OK,b7ba2cf0fe3e4fcb,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
wavelet,ast_emitted,5a4088c22271b4fd,cxx_rel_swap,haar_x.halide_generated.cpp,243,16,operator< -> operator==,m036_cxx_rel_swap_operator_eq_eq,OK,b7ba2cf0fe3e4fcb,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
wavelet,ast_emitted,648d77e60de0f0b1,cxx_rel_swap,haar_x.halide_generated.cpp,243,48,operator== -> operator>=,m041_cxx_rel_swap_operator_gt_eq,OK,b7ba2cf0fe3e4fcb,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
wavelet,ast_emitted,4fcb8f767ea52647,cxx_rel_swap,haar_x.halide_generated.cpp,243,48,operator== -> operator<,m038_cxx_rel_swap_operator_lt,OK,b7ba2cf0fe3e4fcb,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
wavelet,ast_emitted,e56c2849d393fcf0,cxx_rel_swap,haar_x.halide_generated.cpp,243,48,operator== -> operator>,m040_cxx_rel_swap_operator_gt,OK,b7ba2cf0fe3e4fcb,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
wavelet,ast_emitted,5da7c8b494a973cc,cxx_rel_swap,haar_x.halide_generated.cpp,243,48,operator== -> operator!=,m042_cxx_rel_swap_operator_not_eq,OK,b7ba2cf0fe3e4fcb,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
wavelet,ast_emitted,7a77a440713bac4e,cxx_rel_swap,haar_x.halide_generated.cpp,252,15,operator> -> operator<,m043_cxx_rel_swap_operator_lt,OK,ac71bc137339bf10,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,1,killed,0,0.512,,b3225f03ee4efa2a,
wavelet,ast_emitted,323c7964f61b284b,cxx_rel_swap,haar_x.halide_generated.cpp,252,15,operator> -> operator<=,m044_cxx_rel_swap_operator_lt_eq,OK,3b0f5c2a53744dd2,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,1,killed,0,0.456,,b3225f03ee4efa2a,
wavelet,ast_emitted,58b64ceb886273b2,cxx_rel_swap,haar_x.halide_generated.cpp,252,15,operator> -> operator==,m046_cxx_rel_swap_operator_eq_eq,OK,4a111cde1afc4905,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,1,killed,0,0.263,,b3225f03ee4efa2a,
wavelet,ast_emitted,1dbf407309642155,cxx_rel_swap,haar_x.halide_generated.cpp,252,15,operator> -> operator!=,m047_cxx_rel_swap_operator_not_eq,OK,8b7fff63e40d860a,OK,SURVIVED,SURVIVED,NOT_RUN,NOT_RUN,,0,0,,0,1.025,,f12ad6f2a1736a40,
wavelet,ast_emitted,c82d2d5b4abf741c,cxx_rel_swap,haar_x.halide_generated.cpp,257,15,operator< -> operator>,m049_cxx_rel_swap_operator_gt,OK,c9adbfc169aa52eb,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,1,killed,0,0.431,,337187475953335f,
wavelet,ast_emitted,b3a713c60b0ceb0d,cxx_rel_swap,haar_x.halide_generated.cpp,257,15,operator< -> operator>=,m050_cxx_rel_swap_operator_gt_eq,OK,1f2fda4616110223,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,1,killed,0,0.445,,337187475953335f,
wavelet,ast_emitted,95d313b1a1625b59,cxx_rel_swap,haar_x.halide_generated.cpp,252,15,operator> -> operator>=,m045_cxx_rel_swap_operator_gt_eq,OK,cadba2034a2e9407,OK,SURVIVED,SURVIVED,NOT_RUN,NOT_RUN,,0,0,,0,1.454,,f12ad6f2a1736a40,
wavelet,ast_emitted,379beace8d0d14d6,cxx_rel_swap,haar_x.halide_generated.cpp,810,25,operator== -> operator<=,m054_cxx_rel_swap_operator_lt_eq,OK,b7ba2cf0fe3e4fcb,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
wavelet,ast_emitted,675a681ea404c3a7,cxx_rel_swap,haar_x.halide_generated.cpp,257,15,operator< -> operator==,m051_cxx_rel_swap_operator_eq_eq,OK,50aa9c48f53c270c,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,1,killed,0,0.548,,2fe382cc9e63f7e1,
wavelet,ast_emitted,f44e3c94b1955ed8,cxx_rel_swap,haar_x.halide_generated.cpp,810,25,operator== -> operator>,m055_cxx_rel_swap_operator_gt,OK,b7ba2cf0fe3e4fcb,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
wavelet,ast_emitted,61574d0809eb4aa2,cxx_rel_swap,haar_x.halide_generated.cpp,810,25,operator== -> operator<,m053_cxx_rel_swap_operator_lt,OK,b7ba2cf0fe3e4fcb,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
wavelet,ast_emitted,a11ee2e9fc615aff,cxx_rel_swap,haar_x.halide_generated.cpp,810,25,operator== -> operator>=,m056_cxx_rel_swap_operator_gt_eq,OK,b7ba2cf0fe3e4fcb,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
wavelet,ast_emitted,4a87a18d2f66bd9b,cxx_rel_swap,haar_x.halide_generated.cpp,818,25,operator< -> operator<=,m058_cxx_rel_swap_operator_lt_eq,OK,b7ba2cf0fe3e4fcb,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
wavelet,ast_emitted,9f5972d0833cb5d9,cxx_rel_swap,haar_x.halide_generated.cpp,257,15,operator< -> operator!=,m052_cxx_rel_swap_operator_not_eq,OK,988ed9b346e56ec7,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,1,killed,0,0.496,,d07c8412dcd621be,
wavelet,ast_emitted,f448d948aa62759d,cxx_rel_swap,haar_x.halide_generated.cpp,257,15,operator< -> operator<=,m048_cxx_rel_swap_operator_lt_eq,OK,f8d7820d7797a2e7,OK,SURVIVED,SURVIVED,NOT_RUN,NOT_RUN,,0,0,,0,1.933,,f12ad6f2a1736a40,
wavelet,ast_emitted,f42fb09b1bdee5d0,cxx_rel_swap,haar_x.halide_generated.cpp,810,25,operator== -> operator!=,m057_cxx_rel_swap_operator_not_eq,OK,b7ba2cf0fe3e4fcb,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
wavelet,ast_emitted,62fabb33c67358c3,cxx_rel_swap,haar_x.halide_generated.cpp,818,25,operator< -> operator!=,m062_cxx_rel_swap_operator_not_eq,OK,b7ba2cf0fe3e4fcb,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
wavelet,ast_emitted,547f9aad734515aa,cxx_arith_swap,haar_x.halide_generated.cpp,823,27,operator/ -> operator+,m063_cxx_arith_swap_operator_add,OK,b7ba2cf0fe3e4fcb,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
wavelet,ast_emitted,9d4015f5b4da3555,cxx_rel_swap,haar_x.halide_generated.cpp,818,25,operator< -> operator==,m061_cxx_rel_swap_operator_eq_eq,OK,b7ba2cf0fe3e4fcb,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
wavelet,ast_emitted,58cdb74feec1c37f,cxx_rel_swap,haar_x.halide_generated.cpp,818,25,operator< -> operator>,m059_cxx_rel_swap_operator_gt,OK,b7ba2cf0fe3e4fcb,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
wavelet,ast_emitted,24a8a21453f11e06,cxx_rel_swap,haar_x.halide_generated.cpp,818,25,operator< -> operator>=,m060_cxx_rel_swap_operator_gt_eq,OK,b7ba2cf0fe3e4fcb,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
wavelet,ast_emitted,8cc89fc326567874,cxx_arith_swap,haar_x.halide_generated.cpp,823,27,operator/ -> operator-,m064_cxx_arith_swap_operator_sub,OK,b7ba2cf0fe3e4fcb,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
wavelet,ast_emitted,fa05618ecbf15eda,cxx_rel_swap,haar_x.halide_generated.cpp,839,37,operator== -> operator<,m069_cxx_rel_swap_operator_lt,COMPILE_FAIL,,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,0,,,,,,"the compiler rejected the mutant -- a kill category only staged compilation produces, not a test kill"
wavelet,ast_emitted,af143c7594f9789f,cxx_arith_swap,haar_x.halide_generated.cpp,823,22,operator+ -> operator*,m067_cxx_arith_swap_operator_mul,OK,b7ba2cf0fe3e4fcb,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
wavelet,ast_emitted,fc1b488a0cb444a4,cxx_arith_swap,haar_x.halide_generated.cpp,823,22,operator+ -> operator-,m066_cxx_arith_swap_operator_sub,OK,b7ba2cf0fe3e4fcb,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
wavelet,ast_emitted,b9431952eb351e79,cxx_arith_swap,haar_x.halide_generated.cpp,823,27,operator/ -> operator*,m065_cxx_arith_swap_operator_mul,OK,b7ba2cf0fe3e4fcb,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
wavelet,ast_emitted,e87858ff2b173b72,cxx_arith_swap,haar_x.halide_generated.cpp,823,22,operator+ -> operator/,m068_cxx_arith_swap_operator_div,OK,b7ba2cf0fe3e4fcb,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
wavelet,ast_emitted,ae693dc801cba679,cxx_rel_swap,haar_x.halide_generated.cpp,839,37,operator== -> operator>=,m072_cxx_rel_swap_operator_gt_eq,OK,b7ba2cf0fe3e4fcb,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
wavelet,ast_emitted,76fba46ff787e226,cxx_rel_swap,haar_x.halide_generated.cpp,839,37,operator== -> operator>,m071_cxx_rel_swap_operator_gt,COMPILE_FAIL,,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,0,,,,,,"the compiler rejected the mutant -- a kill category only staged compilation produces, not a test kill"
wavelet,ast_emitted,b7c0fbc780470698,cxx_arith_swap,haar_x.halide_generated.cpp,967,35,operator+ -> operator*,m075_cxx_arith_swap_operator_mul,COMPILE_FAIL,,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,0,,,,,,"the compiler rejected the mutant -- a kill category only staged compilation produces, not a test kill"
wavelet,ast_emitted,32b727b33d450aab,cxx_rel_swap,haar_x.halide_generated.cpp,839,37,operator== -> operator!=,m073_cxx_rel_swap_operator_not_eq,COMPILE_FAIL,,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,0,,,,,,"the compiler rejected the mutant -- a kill category only staged compilation produces, not a test kill"
wavelet,ast_emitted,652109c9efaf4d9e,cxx_arith_swap,haar_x.halide_generated.cpp,971,29,operator+ -> operator*,m078_cxx_arith_swap_operator_mul,COMPILE_FAIL,,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,0,,,,,,"the compiler rejected the mutant -- a kill category only staged compilation produces, not a test kill"
wavelet,ast_emitted,436c6f9d573f19cf,cxx_arith_swap,haar_x.halide_generated.cpp,967,35,operator+ -> operator/,m076_cxx_arith_swap_operator_div,COMPILE_FAIL,,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,0,,,,,,"the compiler rejected the mutant -- a kill category only staged compilation produces, not a test kill"
wavelet,ast_emitted,f57da45804e5e938,cxx_rel_swap,haar_x.halide_generated.cpp,839,37,operator== -> operator<=,m070_cxx_rel_swap_operator_lt_eq,OK,b7ba2cf0fe3e4fcb,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
