app,arm,mutator,file,line,column,stage2,effective
hist,schedule,Halide_parallel_to_unroll,hist_generator.cpp,199,22,OK,1
hist,schedule,Halide_parallel_to_unroll,hist_generator.cpp,206,22,OK,1
hist,schedule,Halide_parallel_to_vectorize,hist_generator.cpp,187,22,OK,1
hist,schedule,Halide_unroll_to_parallel,hist_generator.cpp,192,22,OK,1
hist,schedule,Halide_unroll_to_parallel,hist_generator.cpp,198,22,OK,1
hist,schedule,Halide_unroll_to_parallel,hist_generator.cpp,205,22,OK,1
hist,schedule,Halide_unroll_to_vectorize,hist_generator.cpp,192,22,OK,1
hist,schedule,Halide_unroll_to_vectorize,hist_generator.cpp,198,22,OK,1
hist,schedule,Halide_unroll_to_vectorize,hist_generator.cpp,205,22,OK,1
hist,schedule,Halide_vectorize_to_parallel,hist_generator.cpp,182,22,OK,1
hist,schedule,Halide_vectorize_to_parallel,hist_generator.cpp,186,22,OK,1
hist,schedule,Halide_vectorize_to_parallel,hist_generator.cpp,189,22,OK,1
hist,schedule,Halide_vectorize_to_parallel,hist_generator.cpp,194,22,OK,1
hist,schedule,Halide_vectorize_to_parallel,hist_generator.cpp,197,22,OK,1
hist,schedule,Halide_vectorize_to_parallel,hist_generator.cpp,207,22,OK,1
iir_blur,schedule,Halide_vectorize_to_parallel,iir_blur_generator.cpp,45,18,OK,1
iir_blur,schedule,Halide_vectorize_to_unroll,iir_blur_generator.cpp,45,18,OK,1
iir_blur,schedule,Halide_vectorize_to_unroll,iir_blur_generator.cpp,56,18,OK,1
iir_blur,schedule,Halide_vectorize_to_unroll,iir_blur_generator.cpp,59,18,OK,1
max_filter,schedule,Halide_vectorize_to_parallel,max_filter_generator.cpp,106,22,OK,1
max_filter,schedule,Halide_vectorize_to_parallel,max_filter_generator.cpp,108,26,OK,1
max_filter,schedule,Halide_vectorize_to_parallel,max_filter_generator.cpp,111,22,OK,1
max_filter,schedule,Halide_vectorize_to_parallel,max_filter_generator.cpp,113,22,OK,1
max_filter,schedule,Halide_vectorize_to_unroll,max_filter_generator.cpp,106,22,OK,1
max_filter,schedule,Halide_vectorize_to_unroll,max_filter_generator.cpp,108,26,OK,1
max_filter,schedule,Halide_vectorize_to_unroll,max_filter_generator.cpp,111,22,OK,1
max_filter,schedule,Halide_vectorize_to_unroll,max_filter_generator.cpp,113,22,OK,1
nl_means,schedule,Halide_unroll_to_parallel,nl_means_generator.cpp,146,18,OK,1
nl_means,schedule,Halide_unroll_to_parallel,nl_means_generator.cpp,150,18,OK,1
nl_means,schedule,Halide_unroll_to_vectorize,nl_means_generator.cpp,146,18,OK,1
nl_means,schedule,Halide_unroll_to_vectorize,nl_means_generator.cpp,150,18,OK,1
nl_means,schedule,Halide_vectorize_to_parallel,nl_means_generator.cpp,137,18,OK,1
nl_means,schedule,Halide_vectorize_to_parallel,nl_means_generator.cpp,140,18,OK,1
nl_means,schedule,Halide_vectorize_to_parallel,nl_means_generator.cpp,142,18,OK,1
nl_means,schedule,Halide_vectorize_to_parallel,nl_means_generator.cpp,147,18,OK,1
nl_means,schedule,Halide_vectorize_to_parallel,nl_means_generator.cpp,151,18,OK,1
nl_means,schedule,Halide_vectorize_to_parallel,nl_means_generator.cpp,153,18,OK,1
nl_means,schedule,Halide_vectorize_to_unroll,nl_means_generator.cpp,137,18,OK,1
nl_means,schedule,Halide_vectorize_to_unroll,nl_means_generator.cpp,140,18,OK,1
nl_means,schedule,Halide_vectorize_to_unroll,nl_means_generator.cpp,142,18,OK,1
nl_means,schedule,Halide_vectorize_to_unroll,nl_means_generator.cpp,147,18,OK,1
nl_means,schedule,Halide_vectorize_to_unroll,nl_means_generator.cpp,151,18,OK,1
nl_means,schedule,Halide_vectorize_to_unroll,nl_means_generator.cpp,153,18,OK,1
unsharp,schedule,Halide_store_at_to_compute_at,unsharp_generator.cpp,99,22,OK,1
unsharp,schedule,Halide_vectorize_to_parallel,unsharp_generator.cpp,100,22,OK,1
unsharp,schedule,Halide_vectorize_to_parallel,unsharp_generator.cpp,103,22,OK,1
unsharp,schedule,Halide_vectorize_to_parallel,unsharp_generator.cpp,106,22,OK,1
unsharp,schedule,Halide_vectorize_to_parallel,unsharp_generator.cpp,95,22,OK,1
unsharp,schedule,Halide_vectorize_to_unroll,unsharp_generator.cpp,103,22,OK,1
unsharp,schedule,Halide_vectorize_to_unroll,unsharp_generator.cpp,95,22,OK,1
