app,mutator,file,line,col,stage2,build_ok,baseline_median_s,baseline_iqr_s,baseline_n,mutant_median_s,mutant_iqr_s,mutant_n,early_stop,any_timeout,delta_s,delta_pct,threshold_s,o3_verdict,baseline_maxrss_kb,mutant_maxrss_kb,rss_delta_pct,baseline_stmt_lines,mutant_stmt_lines,stmt_lines_differ,baseline_vecinsn,mutant_vecinsn,vecinsn_differ,baseline_text_bytes,mutant_text_bytes,text_bytes_delta_pct,note,_src
depthwise_separable_conv,Halide_unroll_to_vectorize,depthwise_separable_conv_generator.cpp,269,18,OK,1,0.38100,0.11361,21,0.62586,0.03975,9,,,0.24486,64.27,0.34083,SURVIVED_O3,18432,24808,34.59,672,744,1,6054,8128,1,131032,142296,8.60,,results-A.csv
depthwise_separable_conv,Halide_unroll_to_vectorize,depthwise_separable_conv_generator.cpp,276,18,OK,1,0.38100,0.11361,21,0.42693,0.22440,9,,,0.04593,12.05,0.34083,SURVIVED_O3,18432,24808,34.59,672,1272,1,6054,15226,1,131032,193816,47.92,,results-A.csv
depthwise_separable_conv,Halide_vectorize_to_parallel,depthwise_separable_conv_generator.cpp,240,18,OK,1,0.38100,0.11361,21,0.98210,0.14285,9,,,0.60110,157.77,0.34083,KILLED_O3,18432,25044,35.87,672,816,1,6054,5856,1,131032,132152,0.85,,results-A.csv
depthwise_separable_conv,Halide_vectorize_to_parallel,depthwise_separable_conv_generator.cpp,247,18,OK,1,0.38100,0.11361,21,0.88508,0.10879,9,,,0.50408,132.31,0.34083,KILLED_O3,18432,25044,35.87,672,816,1,6054,5892,1,131032,133144,1.61,,results-A.csv
hist,Halide_parallel_to_unroll,hist_generator.cpp,187,22,OK,1,1.73023,0.20277,21,1.75589,0.26215,9,,,0.02565,1.48,0.60831,SURVIVED_O3,28328,29016,2.43,308,295,1,4343,4355,1,232334,232718,0.17,,results-B.csv
hist,Halide_parallel_to_unroll,hist_generator.cpp,199,22,OK,1,1.73023,0.20277,21,1.91499,0.25670,9,,,0.18476,10.68,0.60831,SURVIVED_O3,28328,29160,2.94,308,345,1,4343,4695,1,232334,233550,0.52,,results-B.csv
hist,Halide_parallel_to_unroll,hist_generator.cpp,206,22,OK,1,1.73023,0.20277,21,1.94730,0.00818,9,,,0.21707,12.55,0.60831,SURVIVED_O3,28328,28216,-0.40,308,573,1,4343,12253,1,232334,257486,10.83,,results-B.csv
hist,Halide_parallel_to_vectorize,hist_generator.cpp,187,22,OK,1,1.73023,0.20277,21,1.75674,0.30313,9,,,0.02651,1.53,0.60831,SURVIVED_O3,28328,29016,2.43,308,284,1,4343,4621,1,232334,233870,0.66,,results-B.csv
hist,Halide_unroll_to_parallel,hist_generator.cpp,192,22,OK,1,1.73023,0.20277,21,6.97887,0.81883,9,,,5.24864,303.35,0.60831,KILLED_O3,28328,49792,75.77,308,310,1,4343,4295,1,232334,232238,-0.04,,results-B.csv
hist,Halide_unroll_to_parallel,hist_generator.cpp,198,22,OK,1,1.73023,0.20277,21,1.73139,0.21432,9,,,0.00116,0.07,0.60831,SURVIVED_O3,28328,28276,-0.18,308,310,1,4343,4319,1,232334,232238,-0.04,,results-B.csv
hist,Halide_unroll_to_parallel,hist_generator.cpp,205,22,OK,1,1.73023,0.20277,21,2.73859,0.52595,9,,,1.00836,58.28,0.60831,KILLED_O3,28328,28968,2.26,308,288,1,4343,3675,1,232334,230350,-0.85,,results-B.csv
hist,Halide_unroll_to_vectorize,hist_generator.cpp,192,22,OK,1,1.73023,0.20277,21,1.72755,0.09710,9,,,-0.00268,-0.15,0.60831,SURVIVED_O3,28328,29092,2.70,308,297,1,4343,4359,1,232334,232334,0.00,,results-B.csv
hist,Halide_unroll_to_vectorize,hist_generator.cpp,198,22,OK,1,1.73023,0.20277,21,1.89916,0.21167,9,,,0.16892,9.76,0.60831,SURVIVED_O3,28328,28236,-0.32,308,305,1,4343,4343,0,232334,232334,0.00,,results-B.csv
hist,Halide_unroll_to_vectorize,hist_generator.cpp,205,22,OK,1,1.73023,0.20277,21,1.71980,0.36386,9,,,-0.01044,-0.60,0.60831,SURVIVED_O3,28328,30212,6.65,308,287,1,4343,8113,1,232334,248430,6.93,,results-B.csv
